S. No,offer_id,reward_id,label_in_english,total_payout_in_paise,total_revenue_in_paise
210,603,726,Additional Task,210,0
211,605,728,Complete Registration,1000,0
212,606,729,Complete Registration,300,0
213,607,730,Complete Registration,600,0
214,608,731,Complete Registration,400,0
215,609,733,Open Account ,9000,0
216,610,734,Complete Registration,200,0
217,611,735,Complete KYC,700,0
218,613,737,Download,200,0
219,615,739,Install,600,0
220,616,740,Complete Registration,300,0
221,619,743,Complete Registration,100,0
222,620,744,Open Account ,3000,0
223,125,159,Complete Registration,300,0
224,126,160,Download,800,0
225,127,161,Download,800,0
226,375,459,Additional Task,0,0
227,379,463,Deposit and Play,0,0
228,387,471,Register on APK,3000,0
229,391,476,Download,0,0
230,412,502,Complete KYC,6000,0
231,187,549,Bonus Video Reward,20,0
232,531,648,Cashback on first gameplay,400,0
233,784,925,Complete Registration,1500,0
234,505,617,Cashback on Gameplay.,30,0
235,550,667,Cashback on Depositing Money,5500,0
236,568,686,Complete Registration,300,0
237,572,691,Additional Task,1250,0
238,599,721,Complete Registration,300,0
239,604,727,Complete Registration,300,0
240,608,732,Additional Task,350,0
241,614,738,Complete Registration,200,0
242,617,741,Cahback on Account opening,7500,0
243,618,742,Complete Registration,100,0
244,621,745,Complete Registration,300,0
245,1034,1196,Complete Registration,400,0
246,1086,1254,Complete Registration,500,0
247,1087,1255,Download ,500,0
248,1088,1256,Complete Registration.,300,0
249,1089,1257,Complete Registration.,300,0
250,1090,1258,Cashback on first gameplay,1000,0
251,1091,1259,Cashback on first gameplay,550,0
252,1092,1260,Complete Registration,450,0
253,1093,1261,Cashback on first gameplay,500,0
254,1176,1356,Additional Task,0,0
255,376,460,Deposit and Play,0,0
256,388,472,Complete Registration,700,0
257,128,162,Register on APK,300,0
258,129,163,Complete Registration,300,0
259,131,165,Complete Registration,3000,0
260,130,164,Complete Registration,600,0
261,132,166,Complete Registration,3000,0
262,134,168,Download APK,300,0
263,135,169,Deposit and Play,7000,0
264,136,170,Download,30,0
265,136,171,Additional Task,20,0
266,133,167,Complete Registration,600,0
267,413,503,Register and Play,400,0
268,419,511,Download ,300,0
269,421,514,Download,1000,0
270,452,550,Download,1000,0
271,516,631,Download,300,0
272,505,618,Additional Cashback,20,0
273,628,753,Download,200,0
274,414,504,Cashback on Account open.,4000,0
275,551,668,Cashback on Account open.,4500,0
276,569,687,Complete Registration,900,0
277,573,692,Download,100,0
278,622,746,Download,300,0
279,624,748,Complete Registration,200,0
280,630,755,Open Demat Account ,7000,0
281,631,756,Download APK,500,0
282,632,757,Quiz Contest,0,0
283,635,760,Register on App,400,0
284,636,761,Complete Registration,300,0
285,637,762,Download,200,0
286,2276,2471,Use the App daily,40,0
287,785,926,Download,200,0
288,377,461,Deposit and play,0,0
289,384,468,Register on APK,0,0
290,433,527,Additional Task,300,0
291,415,505,Open Account,5000,0
292,453,551,Download,7000,0
293,506,619,Complete Registration,300,0
294,532,649,Cashback on Video view,300,0
295,552,669,Open Account,6000,0
296,574,693,Complete Registration,300,0
297,574,694,Additional Task,1250,0
298,623,747,Complete Registration,400,0
299,625,749,Open Account,5000,0
300,629,754,Complete Registration,300,0
301,633,758,Download,200,0
302,637,763,Additional Task,200,0
303,640,768,Complete Registration,200,0
304,785,927,Additional Task,300,0
305,1035,1197,Cashback on Video view,300,0
306,1036,1198,Complete Registration,300,0
307,1037,1200,Complete Registration,300,0
308,1038,1202,Complete Registration,200,0
309,1039,1203,Cashback on first gameplay,500,0
310,1040,1204,Complete Registration.,300,0
311,1041,1205,Complete Registration.,300,0
312,1042,1206,Complete Registration.,300,0
313,1043,1207,Download,300,0
314,1044,1208,Cashback on Account open.,6000,0
315,1045,1209,Complete Registration,4500,0
316,1046,1210,Open Account,5000,0
317,1047,1211,Complete Registration.,500,0
318,1048,1212,Cashback on first gameplay,500,0
319,1049,1213,Download Now,50,0
320,378,462,Deposit and Play,0,0
321,416,506,Download,300,0
322,214,552,Bonus Video Reward,20,0
323,666,795,Download,200,0
324,533,650,Cashback on first gameplay,600,0
325,553,670,Cashback on first gameplay,600,0
326,575,695,Complete Registration,300,0
327,626,750,Complete Registration,400,0
328,634,759,Complete KYC,6000,0
329,638,764,Download,200,0
330,641,769,Complete KYC,3200,0
331,642,770,Complete Registration,300,0
332,643,771,Download,200,0
333,644,772,Complete KYC,3200,0
334,645,773,Complete Registration,200,0
335,646,774,Open Account ,6000,0
336,647,775,Download ,120,0
337,648,776,Complete Registration,300,0
338,649,777,Complete Registration,300,0
339,650,778,Complete Registration,200,0
340,651,779,Download,200,0
341,652,780,Complete Registration,300,0
342,654,782,Quiz Contest,40000,0
343,55,548,Bonus Video Reward,50,0
344,655,783,Download,900,0
345,656,784,Download,200,0
346,786,928,Purchase Gold,1600,0
347,666,796,Additional Task,200,0
348,667,797,Download,30,0
349,667,798,Additional Task,20,0
350,668,799,Complete Registration,6000,0
351,675,807,Download,300,0
352,680,812,Download,200,0
353,671,803,Cashback on checking Astrology,50,0
354,380,464,Complete Registration,0,0
355,389,473,Complete Registration,400,0
356,417,508,Join Free Class,400,0
357,454,553,Complete Registration,200,0
358,534,651,Cashback on first gameplay,400,0
359,554,671,Cashback on first gameplay,600,0
360,575,696,Additional Task,1250,0
361,627,751,Download,250,0
362,627,752,Additional Task,350,0
363,638,765,Additional Task,200,0
364,653,781,Complete KYC,300,0
365,657,785,Open Account,5000,0
366,658,786,Download,200,0
367,664,793,Complete Registration,400,0
368,669,800,Download,800,0
369,672,804,Cashback on Gameplay.,50,0
370,677,809,Cashback on Age Calculation.,50,0
371,681,813,Complete Registration,600,0
372,787,929,Complete Registration,100,0
373,1036,1199,Additional Task,1600,0
374,1037,1201,Additional Task,1550,0
375,1050,1214,Cashback on first gameplay,500,0
376,1051,1215,Cashback on first gameplay,600,0
377,1094,1262,Complete Registration,5000,0
378,1099,1267,Register on APK,400,0
379,1098,1266,Rate 5 Stars on PlayStore,0,0
380,1177,1357,Check Heart Rate,150,0
381,1178,1358,Register on APK,800,0
382,1180,1360,Register on APK,700,0
383,1181,1361,Download.,50,0
384,1182,1362,Download.,50,0
385,232,278,Watch Video,350,0
386,238,284,Download,200,0
387,382,466,Complete Registration,0,0
388,395,482,Download,0,0
389,417,509,Additional Task,1050,0
390,454,554,Additional Task,250,0
391,535,652,Cashback on first gameplay,400,0
392,555,672,Complete Registration,800,0
393,639,766,Download,200,0
394,659,787,Cashback on Account open.,5000,0
395,665,794,Download,200,0
396,670,801,Cashback on Gameplay.,30,0
397,673,805,Complete KYC,600,0
398,674,806,Download,200,0
399,678,810,Cashback on Gameplay.,50,0
400,682,814,KYC completion.,5500,0
401,683,815,Quiz Contest,40000,0
402,685,817,Complete Registration,600,0
403,686,818,Complete Registration,600,0
404,687,819,Deposit and Play,500,0
405,689,821,Cashback on first gameplay,800,0
406,690,822,Complete Registration,600,0
407,691,823,Complete Registration,300,0
408,693,825,Complete Registration,600,0
409,694,826,Complete Registration,300,0
410,696,828,Cashback on Class joining,700,0
411,697,829,Complete Registration,400,0
412,698,830,Complete Registration,300,0
413,699,831,Complete Registration,600,0
414,700,832,Complete Registration,0,0
415,701,833,Download,200,0
416,701,834,Additional Task,300,0
417,702,835,Play Games,0,0
418,703,836,Download,200,0
419,233,279,Download APK,1000,0
420,383,467,Complete KYC,0,0
421,390,474,Download,0,0
422,455,555,Complete Registration,500,0
423,1095,1263,Complete Registration,4500,0
424,419,512,Additional Task,500,0
425,536,653,Cashback on KYC completion.,5500,0
426,789,932,Download,300,0
427,790,933,Complete Registration,200,0
428,639,767,Additional Task,300,0
429,660,788,Check Credit Score.,1200,0
430,670,802,"Additional Cashback
",20,0
431,676,808,Cashback on Score Check.,50,0
432,772,910,Complete Registration,800,0
433,684,816,Fantasy,40000,0
434,688,820,Cashback on first gameplay,300,0
435,692,824,Complete Registration,300,0
436,695,827,Check Heart Rate,400,0
437,703,837,Additional Task,300,0
438,704,838,Complete Registration,800,0
439,426,519,KYC completion,7000,0
440,791,934,Complete Registration,300,0
441,792,935,Complete Registration,200,0
442,793,937,Complete Registration,600,0
443,797,941,Complete Registration,500,0
444,798,942,Complete Registration,500,0
445,801,945,Complete Registration,500,0
446,802,946,KYC Completion.,800,0
447,805,947,Cashback on Score Check.,200,0
448,803,948,Cashback on checking Astrology,200,0
449,806,949,Cashback on Age Calculation.,200,0
450,804,950,Cashback on Gameplay.,200,0
451,807,951,Cashback on Gameplay.,200,0
452,808,952,Quiz Contest,5000,0
453,810,954,Quiz Contest,5000,0
454,396,483,Download,0,0
455,234,280,Register on APK,200,0
456,237,283,Download,450,0
457,247,297,Download,200,0
458,247,298,Additional Task,510,0
459,385,469,Open Account,0,0
460,390,475,Additional Task,0,0
461,420,513,Complete Registration,400,0
462,422,515,Register on App,1000,0
463,425,518,Watch Video,300,0
464,431,524,Download,500,0
465,456,556,Complete Registration,800,0
466,537,654,Cashback on KYC completion.,5500,0
467,661,789,Download ,300,0
468,679,811,Complete Registration,600,0
469,705,839,Open Demat Account ,8000,0
470,706,840,Complete Registration,600,0
471,707,841,Check Heart Rate,400,0
472,708,842,Complete Registration,800,0
473,709,843,Complete Registration,800,0
474,710,844,Quiz Contest,40000,0
475,1096,1264,Complete Registration,5000,0
476,713,847,Complete Registration,200,0
477,714,848,Complete KYC,600,0
478,715,849,Account Open,6500,0
479,717,851,Complete Registration,300,0
480,718,852,Install,300,0
481,716,850,Complete Registration,4000,0
482,719,853,Deposit and Play,300,0
483,720,854,Complete Registration,400,0
484,722,856,Complete Registration,300,0
485,723,857,Complete Registration,300,0
486,724,858,Complete Registration,100,0
487,235,281,Register on APK,200,0
488,242,289,Complete Registration,450,0
489,246,296,Additional Task,450,0
490,392,478,Download,0,0
491,423,516,Watch Video,300,0
492,457,557,Download,500,0
493,538,655,Cashback on first gameplay,1100,0
494,662,790,Download,100,0
495,711,845,Quiz Contest,40000,0
496,721,855,Download,800,0
497,725,859,Complete Registration,100,0
498,726,860,Download,200,0
499,788,931,Additional Task,1350,0
500,792,936,Additional Task,560,0
501,794,938,Install APK,400,0
502,799,943,Complete Registration,500,0
503,809,953,Quiz Contest,5000,0
504,811,955,Register on App,300,0
505,1052,1216,Complete Registration,200,0
506,834,977,Register on App,1400,0
507,875,1020,Register on App,4,0
508,1020,1181,Additional Reward,10,0
509,324,386,Additional Reward,0,0
510,1053,1217,Open Account,5500,0
511,1054,1218,Complete Registration,3000,0
512,1055,1219,Download.,30,0
513,1057,1222,Open Demat Account ,4500,0
514,1058,1223,Download.,30,0
515,1059,1225,Download.,30,0
516,1060,1227,Complete Registration.,300,0
517,1097,1265,Rate 5 Stars on PlayStore,0,0
518,1179,1359,Register on APK,800,0
519,1182,1363,Additional Task,160,0
520,236,282,Download,400,0
521,392,479,Additional Task,0,0
522,424,517,Complete Registration,400,0
523,430,523,Download,500,0
524,458,558,Register on APK,400,0
525,752,888,Deposit and Play,600,0
526,662,791,Additional Task,200,0
527,753,889,Complete Registration,400,0
528,148,183,Cashback on checking Astrology,30,0
529,727,861,Download,200,0
530,727,862,Additional Task,300,0
531,730,866,Account Opens,6500,0
532,731,867,Complete KYC,800,0
533,732,868,Complete Registration,200,0
534,733,869,Complete Registration,300,0
535,734,870,Open Account,1500,0
536,735,871,Account Open,6500,0
537,1100,1268,Complete Registration.,200,0
538,737,873,Complete Registration,600,0
539,740,876,Quiz Contest,10000,0
540,741,877,Download,200,0
541,743,879,Open Account,5500,0
542,744,880,Complete Registration,200,0
543,745,881,Complete Registration,300,0
544,747,883,Account Opens,3500,0
545,748,884,Account Open,1000,0
546,749,885,Install,500,0
547,750,886,Open Account,300,0
548,751,887,Complete Registration,300,0
549,754,890,Complete Registration,500,0
550,755,891,Open Demat Account,7500,0
551,239,285,Download APK,300,0
552,393,480,Register on APK,400,0
553,241,288,Additional Task,250,0
554,428,521,Download,500,0
555,459,559,Register for Pay Later,9000,0
556,187,231,Cashback on Age Calculation.,30,0
557,728,863,Download,200,0
558,736,872,Cashback on Account open.,4500,0
559,738,874,Install App,400,0
560,742,878,KYC Completion.,800,0
561,746,882,Complete Registration,300,0
562,756,892,Cashback on first gameplay,800,0
563,795,939,Complete Registration,600,0
564,800,944,Complete Registration,500,0
565,812,956,Account Opens,2500,0
566,813,957,Complete Registration,400,0
567,815,959,Complete Registration,300,0
568,816,960,Complete Registration,300,0
569,814,958,Download,200,0
570,1101,1269,Complete Registration,4500,0
571,818,962,Complete Registration,400,0
572,819,963,Cashback on first gameplay,500,0
573,820,964,Cashback on Video view,200,0
574,820,965,Additional Task,400,0
575,825,970,Cashback on first gameplay,1100,0
576,821,966,Get top 10 Rank,5000,0
577,822,967,Get top 10 Rank,5000,0
578,824,969,Account Opens,3000,0
579,826,971,Cashback on first gameplay,400,0
580,827,972,Download Now,3,0
581,830,973,Download Now,5,0
582,831,974,Cashback on first gameplay,300,0
583,832,975,Go dogital,100,0
584,215,261,Download APK,500,0
585,241,287,Complete Registration,400,0
586,242,290,Additional Task,250,0
587,394,481,Complete Registration,0,0
588,429,522,Download,500,0
589,426,560,Bonus Video Reward,1000,0
590,442,561,Bonus Video Reward,1000,0
591,414,562,Bonus Video Reward,1000,0
592,364,563,Bonus Video Reward,1000,0
593,459,564,Bonus Video Reward,1000,0
594,278,336,Cashback on Gameplay.,30,0
595,728,864,Additional Task,300,0
596,739,875,Cashback on first gameplay,800,0
597,757,893,Make a Purchase,300,0
598,757,894,Additional Task,1550,0
599,758,895,Open Account,6000,0
600,759,896,Download,600,0
601,760,897,Cashback on gameplay.,600,0
602,761,898,Download,300,0
603,762,899,Complete Registration,600,0
604,763,900,KYC Completion.,5000,0
605,764,901,Complete Registration,300,0
606,765,902,Download,300,0
607,765,903,Additional Task,200,0
608,766,904,Download,1000,0
609,767,905,KYC completion,3000,0
610,768,906,Open Account,5000,0
611,769,907,Cashback on Gameplay.,50,0
612,770,908,Cashback on Gameplay.,50,0
613,771,909,Cashback on Gameplay.,50,0
614,773,911,Complete Registration,200,0
615,1055,1220,Additional Task,40,0
616,1056,1221,Complete Registration,300,0
617,1058,1224,Additional Task,40,0
618,243,291,Register on APK,400,0
619,245,293,Download,30,0
620,397,484,Register and Play,0,0
621,401,490,Complete Registration,400,0
622,460,565,Deposit Money ,4000,0
623,796,940,Install App,400,0
624,823,968,Get top 10 Rank,5000,0
625,712,846,Win Contest,50000,0
626,432,525,Download,500,0
627,214,259,Cashback on Gameplay.,30,0
628,729,865,Deposit and Play,600,0
629,833,976,Truefan,120,0
630,1059,1226,Additional Task,40,0
631,1102,1270,Complete Registration.,400,0
632,1103,1271,Complete Registration.,400,0
633,1104,1272,Complete Registration.,400,0
634,1105,1273,Complete Registration.,300,0
635,1106,1274,Account Open,300,0
636,1107,1275,Download,150,0
637,1108,1276,Download ,200,0
638,1109,1278,Open Account,5000,0
639,1110,1279,Download.,280,0
640,1111,1280,Complete Registration.,400,0
641,1112,1281,Complete Install,150,0
642,1113,1282,Complete Install,200,0
643,1114,1283,Complete Install,300,0
644,1115,1284,Register on APK,500,0
645,1116,1285,Register on APK,500,0
646,1117,1286,Cashback on first gameplay,700,0
647,1118,1287,Download.,30,0
648,1119,1288,Download.,30,0
649,1119,1289,Additional Task,20,0
650,1120,1290,Complete Registration.,450,0
651,1183,1364,Download.,50,0
652,245,294,Additional Task,20,0
653,246,295,Download,200,0
654,398,485,Download,60,0
655,433,526,Download,400,0
656,461,566,Download,200,0
657,210,255,No Cashback Offer,0,0
658,1108,1277,Additional Task,1400,0
659,835,978, Register on the App.,600,0
660,836,979,Join  the best investing platform,300,0
661,837,980,One app for animal related queries,200,0
662,838,981,Watch Video,200,0
663,839,982,Get top 10 Rank,5000,0
664,840,983,Get top 10 Rank,5000,0
665,842,985,Complete Registration,200,0
666,843,986,Cashback on first gameplay,1100,0
667,844,987,Deposit and Play,400,0
668,845,988,Complete Registration,700,0
669,846,989,Complete Registration,300,0
670,847,990,Complete Registration,400,0
671,848,991,Complete Registration,300,0
672,849,992,KYC Completion.,800,0
673,850,993,Complete Registration,1000,0
674,851,994,Register and Play a Game,1000,0
675,852,995,Download,300,0
676,853,997,Download,300,0
677,854,999,Complete Registration,300,0
678,855,1000,Register on APK,600,0
679,856,1001,Cashback on first gameplay,500,0
680,857,1002,Install,400,0
681,858,1003,Complete Registration,240,0
682,859,1004,Watch Video,100,0
683,860,1005,Register on APK,150,0
684,861,1006,Account Open,7500,0
685,862,1007,Install App,1200,0
686,398,486,Additional Task,0,0
687,462,567,Complete KYC,6000,0
688,841,984,Get top 10 Rank,5000,0
689,434,528,INSTALL,600,0
690,539,656,Cashback on Bill payment.,200,0
691,852,996,Additional Task,650,0
692,853,998,Additional Task,650,0
693,863,1008,Register and Play a Game,4000,0
694,1061,1228,Open Account,5000,0
695,1062,1229,,500,0
696,1063,1230,Download.,80,0
697,1064,1231,,600,0
698,1065,1232,Register on APK,600,0
699,1066,1233,Complete Registration,200,0
700,1067,1234,Play and have Fun,30,0
701,1068,1235,Complete Registration.,500,0
702,1069,1236,"Play: Watch Tv Shows, Web-series, Movies",30,0
703,1070,1237,Best digital banking app.,5000,0
704,1079,1247,Open Account,5000,0
705,1071,1238,Download ,150,0
706,1073,1240,Register Now,200,0
707,1072,1239,Complete Registration.,500,0
708,1074,1241,Complete Registration.,400,0
709,1075,1242,Complete Registration.,450,0
710,1076,1243,Download.,30,0
711,1077,1245,Cashback on KYC completion.,5500,0
712,1078,1246,Complete Registration,3500,0
713,1080,1248,Open Account ,5000,0
714,1081,1249,Open Account,5000,0
715,1082,1250,Complete Registration,600,0
716,1121,1291,Complete Registration.,500,0
717,252,304,Additional Task,400,0
718,279,338,Complete Registration,300,0
719,280,339,Complete Registration,300,0
720,399,487,Register and Play,400,0
721,435,529,Install App,300,0
722,436,530,Download,300,0
723,463,568,Complete KYC,6000,0
724,540,657,Cashback on gameplay.,1200,0
725,864,1009,Register and Play a Game,4000,0
726,865,1010,Complete Registration,400,0
727,866,1011,Cashback on Depositing Money,300,0
728,867,1012,Download ,500,0
729,868,1013,Complete Registration,150,0
730,869,1014,Complete Registration,1100,0
731,870,1015,Cashback on Account open.,4500,0
732,871,1016,Open Account,5500,0
733,872,1017,Download,300,0
734,873,1018,Open Account,5500,0
735,874,1019,Complete KYC,6000,0
736,1125,1295,Download.,30,0
737,878,1023,Complete Registration,400,0
738,879,1024,Install App,120,0
739,881,1026,Complete Registration,170,0
740,882,1027,Complete Registration,500,0
741,883,1028,Cashback on Account open.,500,0
742,884,1029,Complete Registration,1200,0
743,885,1030,KYC Completion.,800,0
744,886,1031,Complete Registration,400,0
745,887,1032,Complete Registration,400,0
746,888,1033,Complete Registration,400,0
747,889,1034,Download,150,0
748,890,1035,Complete Registration,600,0
749,473,581,Download,200,0
750,891,1036,Register on APK,700,0
751,892,1037,Complete Registration,200,0
752,281,340,Register on APK,400,0
753,282,341,Register on APK,400,0
754,400,489,Additional Task,0,0
755,2277,2473,Open the app daily,40,0
756,876,1021,Complete Registration,300,0
757,880,1025,Install,500,0
758,541,658,Cashback on first gameplay,600,0
759,464,569,Cashback on Class joining,900,0
760,892,1038,Additional Task,500,0
761,1076,1244,Additional Task,20,0
762,1122,1292,Register on APK,300,0
763,1123,1293,Complete Registration,500,0
764,1124,1294,Register on APK,300,0
765,1126,1296,Complete Registration,250,0
766,1127,1297,Complete Install,250,0
767,1184,1365,Make a Purchase,500,0
768,437,531,Open Account ,4000,0
769,465,570,Register on App,1000,0
770,877,1022,Complete Registration,200,0
771,893,1039,Complete KYC,600,0
772,894,1040,Complete Registration,200,0
773,895,1041,Play first game.,600,0
774,896,1042,Download.,300,0
775,2961,3188,Account Open,6000,22000
776,898,1045,Register on APK,200,0
777,817,961,Download,200,0
778,899,1046,Complete Registration,300,0
779,900,1047,Download,200,0
780,901,1048,Cricket Quiz,100,0
781,902,1049,WhatsApp Direct,100,0
782,903,1050,Complete Registration,300,0
783,904,1051,Cricket Quiz,100,0
784,905,1052,WhatsApp Direct,100,0
785,906,1053,Join a challenge ,500,0
786,907,1054,Install,600,0
787,908,1055,Download.,300,0
788,909,1056,Open Account,5500,0
789,663,792,Complete Registration,300,0
790,910,1057,Check Credit Score,1500,0
791,911,1058,Complete Registration,400,0
792,912,1059,Complete Registration,200,0
793,913,1061,Complete Registration,1000,0
794,914,1062,Download,150,0
795,915,1063,Complete Registration,5000,0
796,916,1064,Complete Registration,200,0
797,917,1066,Account Open,6000,0
798,1129,1299,Download,400,0
799,1184,1366,Additional Task,0,0
800,919,1068,Download,300,0
801,920,1069,Complete Registration,200,0
802,921,1070,Complete Registration,220,0
803,438,532,Register on APK,400,0
804,896,1043,Additional Task,260,0
805,912,1060,Additional Task,250,0
806,466,571,"Cashback on KYC Completion.
",800,0
